Name,Unit,Expression,Value,Comments,Favorite
board_width,mm,83 mm,83.00,,false
board_length,mm,94 mm,94.00,,false
board_height,mm,13 mm,13.00,,false
board_clearance,mm,1 mm,1.00,,false
board_holes,mm,3 mm,3.00,,false
wall_thickness,mm,3 mm,3.00,,false
terminal_clearance,mm,25 mm,25.00,,false
rj45_clearance,mm,12 mm,12.00,,false
rj45_width,mm,35 mm,35.00,,false
rj45_length,mm,28 mm,28.00,,false
wall_height,mm,20.5 mm,20.50,,false
pin_diameter,mm,2.5 mm,2.50,,false
lid_width,mm,89 mm,89.00,,false
lid_length,mm,165 mm,165.00,,false
pin_height,mm,5 mm,5.00,,false
